intent,test_count,baseline_correct,baseline_recall_at_1,domain_aware_correct,domain_aware_recall_at_1,recall_improvement,baseline_f1,domain_aware_f1,f1_improvement
ACCOUNT_APPLEID_ICLOUD,60,34,56.67,50,83.33,26.67,58.12,76.92,18.8
KEYBOARD_TYPING_AUTOCORRECT,88,43,48.86,63,71.59,22.73,51.5,68.85,17.36
DISPLAY_TOUCH_SCREEN,98,44,44.9,63,64.29,19.39,52.38,69.61,17.23
APP_STORE_PURCHASES_BILLING,83,50,60.24,65,78.31,18.07,57.14,74.71,17.57
APP_CRASH_AND_DOWNLOAD,29,13,44.83,18,62.07,17.24,41.94,54.55,12.61
CONNECTIVITY_WIFI_BLUETOOTH,88,48,54.55,60,68.18,13.64,55.17,74.53,19.36
BATTERY_CHARGING_POWER,112,81,72.32,96,85.71,13.39,76.42,88.48,12.06
HOW_TO_SETTINGS_CONFIGURATION,32,9,28.12,13,40.62,12.5,26.87,38.81,11.94
GENERAL_DEVICE_INQUIRY,339,217,64.01,255,75.22,11.21,63.17,72.75,9.58
AUDIO_SOUND_SPEAKER,49,33,67.35,38,77.55,10.2,69.47,87.36,17.88
OS_UPDATE_SYSTEM_PERFORMANCE,211,122,57.82,126,59.72,1.9,53.74,61.31,7.57
