intent,training_count,test_count,correct_top1,wrong_top1,recall_at_1,error_rate,common_failure_category
HOW_TO_SETTINGS_CONFIGURATION,148,32,9,23,28.12,71.88,INSUFFICIENT_TRAINING_EXAMPLES
APP_CRASH_AND_DOWNLOAD,134,29,13,16,44.83,55.17,MULTI_ISSUE_QUERY
DISPLAY_TOUCH_SCREEN,458,98,44,54,44.9,55.1,MULTI_ISSUE_QUERY
KEYBOARD_TYPING_AUTOCORRECT,409,88,43,45,48.86,51.14,POST_UPDATE_OR_CONTEXT_MISMATCH
CONNECTIVITY_WIFI_BLUETOOTH,411,88,48,40,54.55,45.45,MULTI_ISSUE_QUERY
ACCOUNT_APPLEID_ICLOUD,281,60,34,26,56.67,43.33,MULTI_ISSUE_QUERY
OS_UPDATE_SYSTEM_PERFORMANCE,982,211,122,89,57.82,42.18,SEMANTICALLY_SIMILAR_INTENTS
APP_STORE_PURCHASES_BILLING,391,83,50,33,60.24,39.76,WRONG_KNOWLEDGE_REPRESENTATION
GENERAL_DEVICE_INQUIRY,1581,339,217,122,64.01,35.99,SEMANTICALLY_SIMILAR_INTENTS
AUDIO_SOUND_SPEAKER,230,49,33,16,67.35,32.65,MULTI_ISSUE_QUERY
BATTERY_CHARGING_POWER,520,112,81,31,72.32,27.68,MULTI_ISSUE_QUERY
