intent,support,baseline_recall_at_1,reranked_recall_at_1,improvement,baseline_mrr,reranked_mrr
ACCOUNT_APPLEID_ICLOUD,60,56.67%,58.33%,+1.66%,0.6748,0.6444
APP_CRASH_AND_DOWNLOAD,29,44.83%,51.72%,+6.89%,0.5906,0.6034
APP_STORE_PURCHASES_BILLING,83,60.24%,63.86%,+3.62%,0.7007,0.6928
AUDIO_SOUND_SPEAKER,49,67.35%,59.18%,-8.17%,0.7422,0.6803
BATTERY_CHARGING_POWER,112,72.32%,74.11%,+1.79%,0.8070,0.8006
CONNECTIVITY_WIFI_BLUETOOTH,88,54.55%,54.55%,+0.00%,0.6576,0.6250
DISPLAY_TOUCH_SCREEN,98,44.90%,42.86%,-2.04%,0.5583,0.5170
GENERAL_DEVICE_INQUIRY,339,64.01%,60.47%,-3.54%,0.7666,0.7247
HOW_TO_SETTINGS_CONFIGURATION,32,28.12%,25.00%,-3.12%,0.3407,0.2865
KEYBOARD_TYPING_AUTOCORRECT,88,48.86%,43.18%,-5.68%,0.6252,0.5644
OS_UPDATE_SYSTEM_PERFORMANCE,211,57.82%,56.40%,-1.42%,0.7187,0.6864
