expected_intent,predicted_intent,count,percentage_of_errors
GENERAL_DEVICE_INQUIRY,OS_UPDATE_SYSTEM_PERFORMANCE,47,9.49
OS_UPDATE_SYSTEM_PERFORMANCE,GENERAL_DEVICE_INQUIRY,47,9.49
KEYBOARD_TYPING_AUTOCORRECT,OS_UPDATE_SYSTEM_PERFORMANCE,22,4.44
GENERAL_DEVICE_INQUIRY,KEYBOARD_TYPING_AUTOCORRECT,20,4.04
DISPLAY_TOUCH_SCREEN,GENERAL_DEVICE_INQUIRY,16,3.23
KEYBOARD_TYPING_AUTOCORRECT,GENERAL_DEVICE_INQUIRY,15,3.03
DISPLAY_TOUCH_SCREEN,OS_UPDATE_SYSTEM_PERFORMANCE,13,2.63
HOW_TO_SETTINGS_CONFIGURATION,GENERAL_DEVICE_INQUIRY,12,2.42
GENERAL_DEVICE_INQUIRY,HOW_TO_SETTINGS_CONFIGURATION,12,2.42
CONNECTIVITY_WIFI_BLUETOOTH,GENERAL_DEVICE_INQUIRY,11,2.22
APP_STORE_PURCHASES_BILLING,OS_UPDATE_SYSTEM_PERFORMANCE,11,2.22
GENERAL_DEVICE_INQUIRY,APP_STORE_PURCHASES_BILLING,10,2.02
GENERAL_DEVICE_INQUIRY,CONNECTIVITY_WIFI_BLUETOOTH,10,2.02
OS_UPDATE_SYSTEM_PERFORMANCE,CONNECTIVITY_WIFI_BLUETOOTH,9,1.82
BATTERY_CHARGING_POWER,GENERAL_DEVICE_INQUIRY,8,1.62
GENERAL_DEVICE_INQUIRY,ACCOUNT_APPLEID_ICLOUD,8,1.62
APP_STORE_PURCHASES_BILLING,GENERAL_DEVICE_INQUIRY,8,1.62
OS_UPDATE_SYSTEM_PERFORMANCE,APP_STORE_PURCHASES_BILLING,8,1.62
ACCOUNT_APPLEID_ICLOUD,GENERAL_DEVICE_INQUIRY,7,1.41
CONNECTIVITY_WIFI_BLUETOOTH,OS_UPDATE_SYSTEM_PERFORMANCE,7,1.41
OS_UPDATE_SYSTEM_PERFORMANCE,KEYBOARD_TYPING_AUTOCORRECT,7,1.41
ACCOUNT_APPLEID_ICLOUD,APP_STORE_PURCHASES_BILLING,7,1.41
DISPLAY_TOUCH_SCREEN,APP_STORE_PURCHASES_BILLING,6,1.21
CONNECTIVITY_WIFI_BLUETOOTH,ACCOUNT_APPLEID_ICLOUD,6,1.21
CONNECTIVITY_WIFI_BLUETOOTH,APP_STORE_PURCHASES_BILLING,5,1.01
OS_UPDATE_SYSTEM_PERFORMANCE,APP_CRASH_AND_DOWNLOAD,5,1.01
BATTERY_CHARGING_POWER,OS_UPDATE_SYSTEM_PERFORMANCE,5,1.01
APP_CRASH_AND_DOWNLOAD,OS_UPDATE_SYSTEM_PERFORMANCE,5,1.01
BATTERY_CHARGING_POWER,CONNECTIVITY_WIFI_BLUETOOTH,5,1.01
GENERAL_DEVICE_INQUIRY,DISPLAY_TOUCH_SCREEN,5,1.01
APP_STORE_PURCHASES_BILLING,DISPLAY_TOUCH_SCREEN,5,1.01
ACCOUNT_APPLEID_ICLOUD,OS_UPDATE_SYSTEM_PERFORMANCE,4,0.81
AUDIO_SOUND_SPEAKER,OS_UPDATE_SYSTEM_PERFORMANCE,4,0.81
GENERAL_DEVICE_INQUIRY,APP_CRASH_AND_DOWNLOAD,4,0.81
BATTERY_CHARGING_POWER,DISPLAY_TOUCH_SCREEN,4,0.81
AUDIO_SOUND_SPEAKER,GENERAL_DEVICE_INQUIRY,4,0.81
OS_UPDATE_SYSTEM_PERFORMANCE,BATTERY_CHARGING_POWER,4,0.81
CONNECTIVITY_WIFI_BLUETOOTH,BATTERY_CHARGING_POWER,4,0.81
DISPLAY_TOUCH_SCREEN,BATTERY_CHARGING_POWER,4,0.81
KEYBOARD_TYPING_AUTOCORRECT,DISPLAY_TOUCH_SCREEN,4,0.81
APP_STORE_PURCHASES_BILLING,CONNECTIVITY_WIFI_BLUETOOTH,4,0.81
OS_UPDATE_SYSTEM_PERFORMANCE,HOW_TO_SETTINGS_CONFIGURATION,4,0.81
DISPLAY_TOUCH_SCREEN,ACCOUNT_APPLEID_ICLOUD,3,0.61
ACCOUNT_APPLEID_ICLOUD,CONNECTIVITY_WIFI_BLUETOOTH,3,0.61
BATTERY_CHARGING_POWER,AUDIO_SOUND_SPEAKER,3,0.61
GENERAL_DEVICE_INQUIRY,BATTERY_CHARGING_POWER,3,0.61
DISPLAY_TOUCH_SCREEN,CONNECTIVITY_WIFI_BLUETOOTH,3,0.61
DISPLAY_TOUCH_SCREEN,APP_CRASH_AND_DOWNLOAD,3,0.61
HOW_TO_SETTINGS_CONFIGURATION,OS_UPDATE_SYSTEM_PERFORMANCE,3,0.61
APP_CRASH_AND_DOWNLOAD,GENERAL_DEVICE_INQUIRY,3,0.61
GENERAL_DEVICE_INQUIRY,AUDIO_SOUND_SPEAKER,3,0.61
CONNECTIVITY_WIFI_BLUETOOTH,AUDIO_SOUND_SPEAKER,3,0.61
BATTERY_CHARGING_POWER,KEYBOARD_TYPING_AUTOCORRECT,3,0.61
OS_UPDATE_SYSTEM_PERFORMANCE,ACCOUNT_APPLEID_ICLOUD,3,0.61
DISPLAY_TOUCH_SCREEN,HOW_TO_SETTINGS_CONFIGURATION,3,0.61
ACCOUNT_APPLEID_ICLOUD,DISPLAY_TOUCH_SCREEN,2,0.4
APP_CRASH_AND_DOWNLOAD,KEYBOARD_TYPING_AUTOCORRECT,2,0.4
ACCOUNT_APPLEID_ICLOUD,APP_CRASH_AND_DOWNLOAD,2,0.4
AUDIO_SOUND_SPEAKER,DISPLAY_TOUCH_SCREEN,2,0.4
APP_CRASH_AND_DOWNLOAD,APP_STORE_PURCHASES_BILLING,2,0.4
BATTERY_CHARGING_POWER,APP_STORE_PURCHASES_BILLING,2,0.4
OS_UPDATE_SYSTEM_PERFORMANCE,DISPLAY_TOUCH_SCREEN,2,0.4
DISPLAY_TOUCH_SCREEN,AUDIO_SOUND_SPEAKER,2,0.4
HOW_TO_SETTINGS_CONFIGURATION,KEYBOARD_TYPING_AUTOCORRECT,2,0.4
AUDIO_SOUND_SPEAKER,HOW_TO_SETTINGS_CONFIGURATION,2,0.4
HOW_TO_SETTINGS_CONFIGURATION,APP_STORE_PURCHASES_BILLING,2,0.4
CONNECTIVITY_WIFI_BLUETOOTH,APP_CRASH_AND_DOWNLOAD,2,0.4
HOW_TO_SETTINGS_CONFIGURATION,ACCOUNT_APPLEID_ICLOUD,2,0.4
APP_STORE_PURCHASES_BILLING,HOW_TO_SETTINGS_CONFIGURATION,2,0.4
AUDIO_SOUND_SPEAKER,CONNECTIVITY_WIFI_BLUETOOTH,2,0.4
CONNECTIVITY_WIFI_BLUETOOTH,HOW_TO_SETTINGS_CONFIGURATION,1,0.2
ACCOUNT_APPLEID_ICLOUD,AUDIO_SOUND_SPEAKER,1,0.2
BATTERY_CHARGING_POWER,APP_CRASH_AND_DOWNLOAD,1,0.2
KEYBOARD_TYPING_AUTOCORRECT,APP_CRASH_AND_DOWNLOAD,1,0.2
KEYBOARD_TYPING_AUTOCORRECT,HOW_TO_SETTINGS_CONFIGURATION,1,0.2
KEYBOARD_TYPING_AUTOCORRECT,BATTERY_CHARGING_POWER,1,0.2
HOW_TO_SETTINGS_CONFIGURATION,BATTERY_CHARGING_POWER,1,0.2
