min_similarity,min_intent_confidence,min_intent_alignment,auto_handle_pct,escalate_pct,auto_handle_precision,auto_handle_recall,false_auto_handle_rate,overall_accuracy,tp,fp,tn,fn
0.55,0.5,0.33,24.41,75.59,0.9345,0.2805,0.0655,0.399,271,19,203,695
0.55,0.5,0.66,22.14,77.86,0.9392,0.2557,0.0608,0.3813,247,16,206,719
0.55,0.5,1.0,14.31,85.69,0.9529,0.1677,0.0471,0.3165,162,8,214,804
0.55,0.6,0.33,16.41,83.59,0.9282,0.1874,0.0718,0.3274,181,14,208,785
0.55,0.6,0.66,15.24,84.76,0.9392,0.176,0.0608,0.3207,170,11,211,796
0.55,0.6,1.0,10.61,89.39,0.9524,0.1242,0.0476,0.2828,120,6,216,846
0.55,0.7,0.33,11.87,88.13,0.9291,0.1356,0.0709,0.2887,131,10,212,835
0.55,0.7,0.66,11.28,88.72,0.9328,0.1294,0.0672,0.2845,125,9,213,841
0.55,0.7,1.0,7.83,92.17,0.9462,0.0911,0.0538,0.2567,88,5,217,878
0.55,0.8,0.33,7.32,92.68,0.954,0.0859,0.046,0.2534,83,4,218,883
0.55,0.8,0.66,6.99,93.01,0.9518,0.0818,0.0482,0.25,79,4,218,887
0.55,0.8,1.0,4.97,95.03,0.9492,0.058,0.0508,0.2315,56,3,219,910
0.6,0.5,0.33,23.82,76.18,0.9329,0.2733,0.0671,0.3931,264,19,203,702
0.6,0.5,0.66,21.55,78.45,0.9375,0.2484,0.0625,0.3754,240,16,206,726
0.6,0.5,1.0,14.06,85.94,0.9521,0.1646,0.0479,0.314,159,8,214,807
0.6,0.6,0.33,15.99,84.01,0.9263,0.1822,0.0737,0.3232,176,14,208,790
0.6,0.6,0.66,14.81,85.19,0.9375,0.1708,0.0625,0.3165,165,11,211,801
0.6,0.6,1.0,10.44,89.56,0.9516,0.1222,0.0484,0.2811,118,6,216,848
0.6,0.7,0.33,11.45,88.55,0.9265,0.1304,0.0735,0.2845,126,10,212,840
0.6,0.7,0.66,10.86,89.14,0.9302,0.1242,0.0698,0.2803,120,9,213,846
0.6,0.7,1.0,7.66,92.34,0.9451,0.089,0.0549,0.2551,86,5,217,880
0.6,0.8,0.33,6.99,93.01,0.9518,0.0818,0.0482,0.25,79,4,218,887
0.6,0.8,0.66,6.65,93.35,0.9494,0.0776,0.0506,0.2466,75,4,218,891
0.6,0.8,1.0,4.88,95.12,0.9483,0.0569,0.0517,0.2306,55,3,219,911
0.65,0.5,0.33,22.22,77.78,0.9508,0.2598,0.0492,0.3872,251,13,209,715
0.65,0.5,0.66,20.12,79.88,0.9498,0.235,0.0502,0.3678,227,12,210,739
0.65,0.5,1.0,13.3,86.7,0.9494,0.1553,0.0506,0.3064,150,8,214,816
0.65,0.6,0.33,14.65,85.35,0.9425,0.1698,0.0575,0.3165,164,10,212,802
0.65,0.6,0.66,13.64,86.36,0.9444,0.1584,0.0556,0.3081,153,9,213,813
0.65,0.6,1.0,9.68,90.32,0.9478,0.1128,0.0522,0.2736,109,6,216,857
0.65,0.7,0.33,10.44,89.56,0.9274,0.119,0.0726,0.2761,115,9,213,851
0.65,0.7,0.66,9.85,90.15,0.9316,0.1128,0.0684,0.2719,109,8,214,857
0.65,0.7,1.0,6.99,93.01,0.9398,0.0807,0.0602,0.2483,78,5,217,888
0.65,0.8,0.33,6.4,93.6,0.9474,0.0745,0.0526,0.2441,72,4,218,894
0.65,0.8,0.66,6.06,93.94,0.9444,0.0704,0.0556,0.2407,68,4,218,898
0.65,0.8,1.0,4.46,95.54,0.9434,0.0518,0.0566,0.2264,50,3,219,916
0.7,0.5,0.33,20.45,79.55,0.9671,0.2433,0.0329,0.3779,235,8,214,731
0.7,0.5,0.66,18.52,81.48,0.9636,0.2195,0.0364,0.3586,212,8,214,754
0.7,0.5,1.0,12.54,87.46,0.9597,0.148,0.0403,0.3022,143,6,216,823
0.7,0.6,0.33,13.64,86.36,0.9568,0.1605,0.0432,0.3114,155,7,215,811
0.7,0.6,0.66,12.71,87.29,0.9536,0.1491,0.0464,0.3022,144,7,215,822
0.7,0.6,1.0,9.26,90.74,0.9545,0.1087,0.0455,0.271,105,5,217,861
0.7,0.7,0.33,9.68,90.32,0.9478,0.1128,0.0522,0.2736,109,6,216,857
0.7,0.7,0.66,9.18,90.82,0.945,0.1066,0.055,0.2685,103,6,216,863
0.7,0.7,1.0,6.73,93.27,0.95,0.0787,0.05,0.2475,76,4,218,890
0.7,0.8,0.33,6.06,93.94,0.9583,0.0714,0.0417,0.2424,69,3,219,897
0.7,0.8,0.66,5.72,94.28,0.9559,0.0673,0.0441,0.2391,65,3,219,901
0.7,0.8,1.0,4.29,95.71,0.9608,0.0507,0.0392,0.2264,49,2,220,917
0.75,0.5,0.33,14.81,85.19,0.9659,0.176,0.0341,0.3249,170,6,216,796
0.75,0.5,0.66,13.55,86.45,0.9627,0.1605,0.0373,0.3123,155,6,216,811
0.75,0.5,1.0,9.01,90.99,0.9533,0.1056,0.0467,0.2685,102,5,217,864
0.75,0.6,0.33,9.76,90.24,0.9569,0.1149,0.0431,0.2761,111,5,217,855
0.75,0.6,0.66,9.09,90.91,0.9537,0.1066,0.0463,0.2694,103,5,217,863
0.75,0.6,1.0,6.48,93.52,0.9481,0.0756,0.0519,0.2449,73,4,218,893
0.75,0.7,0.33,6.99,93.01,0.9518,0.0818,0.0482,0.25,79,4,218,887
0.75,0.7,0.66,6.57,93.43,0.9487,0.0766,0.0513,0.2458,74,4,218,892
0.75,0.7,1.0,4.8,95.2,0.9474,0.0559,0.0526,0.2298,54,3,219,912
0.75,0.8,0.33,4.21,95.79,0.96,0.0497,0.04,0.2256,48,2,220,918
0.75,0.8,0.66,3.96,96.04,0.9574,0.0466,0.0426,0.2231,45,2,220,921
0.75,0.8,1.0,2.86,97.14,0.9706,0.0342,0.0294,0.2138,33,1,221,933
